time,BLL,AMAT,AAPL,ADSK,GRMN,ALGN,ETN,DE,FISV,GS,DVN,ALB,EXC,COG,CI,EMN,EMR,ALL,EL,GDX,ADM,GILD,EFX,BMY,CLX,CCL,FAST,CAT,CTSH,EFA,BAC,AXP,AJG,CDNS,GT,ADI,BXP,GWW,ETR,BAX,CMG,APH,FITB,CL,HAL,CRM,GPS,CE,FLR,DXCM,CHD,ADBE,FLS,ANSS,HBAN,GPC,DPZ,AFL,AAP,CF,DVA,CTAS,BA,DHI,BBY,BK,FL,FDX,AVB,CCI,AMZN,GD,CMS,GOOG,FCX,EXPD,ACN,CME,GPN,EOG,EIX,APA,COO,CAG,AMT,COF,ESS,COST,ALK,AKAM,AES,CMA,DTE,CMI,D,AVY,BWA,DGX,HAS,CHRW,F,AEP,GLW,BLK,EW,FE,CSCO,DRI,HBI,AIZ,DRE,DHR,CTXS,CERN,GIS,FFIV,APD,A,AEE
2007-02-07,11.5625,18.25,3.07678571428571,42.29,51.7,16.42,39.27,51.75,13.445,213.55,69.14,41.2,63.25,8.08625,46.65,29.355,44.78,61.54,22.935,39.31,34.28,18.06,41.22,28.86,65.5,49.89,9.3825,65.64,23.72,75.26,53.36,58.68,29.27,20.54,25.11,33.24,130.75,78.69,98.46,26.9690385659967,61.57,17.055,40.91,33.5,29.64,11.9225,19.25,27.64,42.755,8.85,11.77,38.15,18.1,25.55,23.81,49.14,32.38,24.63,38.33,6.416,27.54,42.18,90.7,29.64,50.79,44.127623489506,23.08,115.23,148.52,35.02,38.98,79.44,17.62,234.127432903194,26.98,44.14,39.1,117.47,19.535,33.275,45.98,69.2,46.33,19.7976653696498,40.15,83.61,146.25,57.13,10.7175,56.95,21.94,61.12,47.24,35.015,43.495,67.81,17.5025,52.93,28.91,52.85,8.56,45.39,22.39,172.54,4.2175,62.29,28.09,37.087911,6.275,56.75,48.21,28.0363912054587,25.3782449434623,12.3725,28.37,37.69,69.472710453284,23.2975679542203,53.85
2007-02-08,11.5075,18.31,3.07785714285714,42.26,53.15,16.52,38.91,51.45,13.43,213.9,68.73,41.745,63.51,8.24875,46.3966666666667,29.14,44.7,61.53,23.13,40.26,33.87,18.04,41.6,28.7,65.52,49.57,9.2375,65.63,23.4975,74.96,53.32,58.49,29.33,20.24,25.7,33.3,129.48,78.24,98.24,27.0396523628463,62.09,17.0525,40.39,33.515,29.72,11.925,19.75,28.11,43.495,8.8,11.645,38.05,17.8233333333333,25.58,23.75,48.87,31.95,24.04,38.73,6.48,27.45,41.98,89.52,28.65,51.12,44.0746237015052,23.21,113.75,147.75,35.15,39.1,79.24,17.67,234.635528436398,26.715,45.43,38.84,116.838,19.655,33.305,45.96,70.13,46.66,19.9377431906615,40.15,82.806667,146.4,56.62,10.685,59.15,22.36,60.89,47.42,34.51,43.74,67.66,18.6,52.41,29.12,52.5,8.55,45.3,22.49,173.44,4.24333333333333,63.15,28.14,37.329264,6.2725,53.89,48.04,27.8430629264594,25.2826883261666,12.5325,28.39,37.505,69.4357076780759,23.3690987124464,54.13
2007-02-09,11.4175,17.97,2.97392857142857,41.93,52.26,16.22,38.715,51.395,13.2625,213.28,68.25,40.89,64.06,8.2325,45.9966666666667,29.3,44.31,61.08,23.315,40.11,33.36,17.79,41.6,28.52,65.01,48.45,9.1025,64.8,23.0875,74.64,52.99,57.53,29.32,20.34,25.11,33.1,127.04,78.17,98.12,27.0233568712656,61.91,16.88,40.46,33.46,29.91,11.7525,19.55,28.37,42.975,8.78,11.605,37.68,17.43,25.445,23.65,48.96,31.75,23.855,38.52,6.572,27.52,41.74,90.0,28.05,51.0,44.0428238287047,22.7,113.39,145.99,34.85,38.72,79.56,17.52,230.082593952589,26.825,44.44,38.79,114.65,19.675,33.285,46.16,70.0,46.35,19.8287937743191,39.92,82.01,145.0,55.98,10.5325,56.16,22.61,60.68,47.32,33.875,43.73,67.06,18.735,52.19,28.38,51.79,8.73,45.45,21.59,173.68,4.21583333333333,63.15,27.71,36.989582,6.3,53.43,47.88,27.5852918877938,25.0437967829272,12.4625,28.515,37.75,69.3894542090657,23.3619456366237,53.99
2007-02-12,11.395,17.89,3.03142857142857,41.48,51.84,16.75,38.61,51.61,13.325,211.13,66.81,41.065,63.71,8.02375,46.64,29.27,44.4,60.9,23.21,39.61,33.59,17.7025,41.62,27.59,65.35,48.66,8.985,64.6,23.1125,74.35,53.04,57.0,28.78,20.27,24.66,32.91,123.5,77.6,97.92,27.1048343291689,60.72,16.81,40.75,33.455,29.73,11.8475,19.66,28.53,42.97,8.63,11.63,38.09,16.83,25.495,23.74,48.82,31.71,23.93,37.48,6.666,28.05,41.91,89.2,27.33,50.46,44.6152215391138,22.89,113.18,143.0,34.12,38.85,78.78,17.55,228.289315600104,26.625,43.67,38.35,112.8,19.805,32.52,46.21,68.69,46.05,19.8677042801556,39.5,81.5,141.76,55.93,10.74,55.1,22.25,60.62,46.74,34.3375,43.775,66.89,18.6,52.26,28.71,51.42,8.65,45.67,21.6,171.32,4.2475,63.28,27.54,36.873375,6.485,52.77,46.475,27.6345716451858,24.8128682911292,12.4925,28.465,36.865,69.6577243293247,23.3118741058655,54.15
2007-02-13,11.6525,18.23,3.025,41.33,52.71,16.99,39.015,51.335,13.4275,212.53,67.09,41.675,63.86,8.24875,47.04,29.705,44.63,61.2,23.325,40.23,34.95,17.6425,41.69,27.59,65.89,48.76,8.9675,64.73,23.12,75.3,53.73,57.6,28.91,20.38,24.63,33.02,125.8,78.51,99.52,27.1265616512765,60.45,16.89,41.05,33.78,30.65,12.1225,19.96,28.99,42.38,8.98,11.765,38.43,17.1566666666667,25.64,23.96,49.2,31.82,23.92,37.5,6.792,28.28,41.97,89.29,27.86,50.52,45.0286198855205,23.08,113.54,146.01,34.22,39.31,79.81,17.67,228.692803229413,28.095,43.58,38.72,114.4,19.55,32.885,46.36,69.59,46.08,20.2101167315175,39.55,81.78,145.15,56.46,10.8175,55.54,22.46,61.24,48.0,34.6725,43.41,67.7,18.7825,52.35,28.47,51.67,8.45,45.78,21.92,170.51,4.25666666666667,63.44,27.18,38.115896,6.58,53.98,46.72,27.5815011372252,24.6615703137442,12.755,28.62,36.86,70.5642923219241,23.5908440629471,54.55
2007-02-14,11.6925,18.89,3.04642857142857,42.68,57.0,16.96,39.615,55.955,13.575,217.4,67.35,41.745,63.78,8.2,47.6033333333333,29.875,46.0625,61.88,23.565,40.89,35.065,17.93,41.91,27.72,66.45,49.205,9.125,66.16,23.58,76.32,54.05,58.69,29.13,20.58,24.85,33.43,124.99,78.9,99.95,27.3058120586638,59.69,16.8875,41.11,33.95,30.7,12.47,19.96,28.73,42.715,8.8,11.755,38.6,17.3166666666667,25.8,23.98,49.46,31.76,24.135,37.02,6.864,28.725,42.37,89.94,28.18,50.07,45.4738181047276,23.21,117.58,144.77,35.27,40.14,79.63,17.63,232.095050770378,28.315,44.1,39.2,114.6,19.4,33.06,46.75,69.26,46.14,20.1167315175097,39.6,81.87,144.0,57.05,10.9575,56.6,22.38,61.7,48.32,36.27,43.405,68.67,18.895,52.68,28.98,53.12,8.51,45.95,22.24,172.14,4.30083333333333,63.84,27.46,38.035445,6.66,54.62,46.15,27.8847611827142,25.1632425545469,12.7925,28.66,36.875,71.0083256244218,23.5622317596567,54.89
2007-02-15,11.68,19.09,3.04321428571429,42.61,56.5,17.46,39.955,56.76,13.705,216.82,66.7,41.49,62.82,8.2125,47.9666666666667,29.85,45.55,62.27,23.76,41.2,35.75,18.0475,39.63,27.77,66.59,48.66,9.1125,67.62,23.62,76.41,53.85,58.85,28.96,20.72,25.41,33.29,127.1,79.21,99.24,27.3764258555133,61.38,16.8675,40.97,33.955,30.38,12.4025,19.99,29.11,43.215,8.86,11.7,39.25,17.3533333333333,25.83,23.9,49.51,31.97,23.965,38.75,6.92,29.27,42.34,91.71,28.29,50.24,45.9084163663345,23.1,117.29,145.99,35.39,40.06,79.49,17.51,229.873378144799,28.92,44.78,38.79,114.518,19.76,32.895,46.45,68.72,46.41,20.3035019455253,40.17,82.35,145.21,57.9,10.9375,56.39,22.24,61.8,48.08,35.8525,43.4,68.76,19.145,53.92,29.44,52.53,8.6,45.71,22.05,175.59,4.34166666666667,63.47,27.56,38.106957,6.6875,54.64,46.89,28.0705079605762,25.2030578117535,13.105,28.755,37.105,70.786308973173,24.1988555078684,53.5
2007-02-16,11.65,19.02,3.02964285714286,42.21,55.77,17.56,39.74,56.965,13.68,216.92,66.69,41.69,63.19,8.39625,47.9733333333333,29.765,45.32,62.18,23.875,40.94,35.88,18.015,39.73,27.64,66.16,48.36,9.18,67.67,23.42,76.38,54.05,59.02,29.22,20.62,25.18,32.98,125.88,78.73,99.66,27.4090168386746,65.03,16.745,40.98,34.38,30.05,12.4075,20.02,29.3,42.83,8.82,11.835,40.27,17.3766666666667,25.88,23.99,49.77,32.05,23.995,38.65,6.87,29.045,42.39,90.94,28.21,50.0,45.7600169599322,23.23,117.05,145.04,34.88,40.33,79.25,17.52,234.092563601896,28.78,45.1,38.75,114.952,19.82,33.5,46.48,68.8,46.65,20.1867704280156,40.32,82.07,144.23,57.8,10.945,55.99,22.3,62.08,47.99,36.1125,43.28,68.5,19.155,52.85,29.6,52.71,8.53,45.89,21.72,173.54,4.3675,63.07,27.52,38.178469,6.695,54.58,46.67,27.8809704321456,25.0278706800446,13.0675,29.045,36.795,70.9250693802035,23.4406294706724,53.51
2007-02-20,11.73,18.76,3.06785714285714,42.19,57.66,17.88,39.825,56.675,13.7575,220.94,65.73,42.08,63.64,8.4625,48.5166666666667,29.87,45.49,62.24,24.115,40.08,35.75,18.1725,40.36,27.42,66.66,48.9,9.3225,67.93,23.645,76.49,54.05,58.71,29.24,20.94,25.39,32.97,127.41,79.95,99.83,27.5067897881586,63.89,16.98,41.2,34.435,30.04,12.3575,20.12,29.68,43.825,9.0,11.7725,40.74,17.4166666666667,28.425,24.05,49.75,32.09,24.21,38.03,7.436,29.035,42.81,91.03,28.47,50.65,45.7812168751325,23.31,118.29,146.71,34.84,41.51,79.29,17.6,235.168530613387,28.245,46.01,38.79,115.4,19.995,33.2,46.7,68.39,46.9,20.4280155642023,40.84,82.14,145.8,58.28,11.025,56.96,22.53,63.15,47.99,35.885,43.15,68.49,19.4,52.7,29.32,54.03,8.65,45.95,21.73,174.0,4.24833333333333,63.77,27.66,38.16953,6.675,54.35,46.73,28.3965125094769,25.2826883261666,13.2875,28.96,38.015,71.7206290471785,23.2403433476395,53.67
2007-02-21,11.82,18.97,3.18571428571429,42.02,57.18,17.58,40.39,57.975,13.7,220.15,66.09,43.05,63.51,8.7125,48.1966666666667,30.32,45.46,61.83,23.52,41.57,35.4,18.5575,40.05,27.11,65.84,48.66,9.4175,68.21,23.645,76.1,53.91,58.53,29.05,21.16,25.65,33.32,126.74,80.32,99.62,27.4850624660511,63.58,16.98,40.8,34.25,30.27,12.0,19.98,29.88,43.79,8.74,11.775,40.95,17.5,27.91,23.96,50.09,32.3,23.95,38.31,7.686,28.78,42.47,90.96,28.08,50.39,45.2936188255247,23.31,119.13,145.45,34.55,41.26,78.72,17.63,237.041510225982,29.24,46.17,38.47,113.454,19.935,33.65,46.23,69.12,47.41,20.124513618677,40.6,82.29,145.24,58.18,11.005,57.31,22.55,63.19,47.79,36.4225,43.05,68.55,19.415,52.42,29.48,54.38,8.47,45.7,21.9,172.64,4.2925,63.17,27.38,38.133774,6.78,54.2,46.51,28.2183472327521,25.6728778467909,13.2425,28.75,37.985,71.3968547641073,23.4263233190272,53.15
